isbn,title,publisher,source_kind
9787020002207,红楼梦,人民文学出版社,USER_PROVIDED
9787111544937,深入理解计算机系统,,USER_PROVIDED
9787508647357,人类简史：从动物到上帝,,USER_PROVIDED
9787534352362,数学（义务教育教科书三年级上册）,,USER_PROVIDED
9787303147533,数学（北师大版六年级上册）,,USER_PROVIDED
9787521333299,考研英语历年真题,,USER_PROVIDED
9787040396638,高等数学（同济版上）,,USER_PROVIDED
9787115621375,自卑与超越,人民邮电出版社,USER_PROVIDED
9787040599008,马克思主义基本原理（2023版）,,USER_PROVIDED
9787040599015,中国近现代史纲要（2023版）,,USER_PROVIDED
9787521766912,思考，快与慢,中信出版社,USER_PROVIDED
