dataset_version,platform_id,isbn,status,price_cent,multi_copy_policy,rejection_reason,collected_at,source_kind
observed-2026-08-09-v1,jiushuyun,9787534352362,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787303147533,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787521333299,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787040396638,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787115621375,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787040599008,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787040599015,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiushuyun,9787521766912,UNKNOWN,,NOT_APPLICABLE,NOT_QUERIED_INPUT_LIMIT,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787020002207,ACCEPTED,350,MAX_ONE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787111544937,ACCEPTED,1758,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787508647357,ACCEPTED,846,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787534352362,ACCEPTED,20,MAX_ONE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787303147533,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787521333299,ACCEPTED,20,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787040396638,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787115621375,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787040599008,ACCEPTED,211,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787040599015,ACCEPTED,78,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,taoshupu,9787521766912,ACCEPTED,1010,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
